Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2741,2701,40,1635,1106,1942,565,87,147,40,25,28,24,15,75,659,616,320,143,96,93,112,99,100,64,78,72,48,23,11,2101,640
13,Theater,2591,2562,29,1453,1138,1784,530,111,166,40,28,28,35,21,65,539,514,282,136,96,98,136,102,86,84,74,103,63,34,27,2088,503
14,Lindenplatz,4216,4164,52,2294,1922,3083,748,179,206,66,42,38,51,31,135,1004,944,401,182,134,161,168,139,126,120,95,131,124,77,47,3326,890
15,St. Jakob,6307,6248,59,3481,2826,4620,1182,163,342,119,84,88,116,65,196,1384,1406,723,373,258,248,283,224,202,164,112,121,87,37,17,5214,1093
16,Westpark,8146,8046,100,4508,3638,5380,2077,312,377,184,151,188,181,122,215,1543,1452,843,518,339,370,397,363,290,221,189,234,178,108,60,6728,1418
17,Hanbruch,3655,3636,19,1795,1860,1574,1505,296,280,92,112,149,220,100,91,209,227,187,195,209,268,274,285,240,193,143,168,161,90,42,3141,514
18,Hörn,5495,5419,76,2852,2643,2939,1978,328,250,122,119,194,170,139,182,904,615,316,267,212,283,348,298,256,247,187,268,197,110,61,4616,879
21,Ponttor,12063,11877,186,7230,4833,9149,2171,305,438,231,149,160,172,86,532,3350,2590,1208,640,366,420,408,353,300,296,239,256,175,84,48,8953,3110
22,Hansemannplatz,5204,5140,64,3023,2181,3420,1242,194,348,88,63,77,96,57,104,1011,963,481,310,215,259,264,263,216,173,167,189,121,54,33,3982,1222
23,Soers,2728,2700,28,1338,1390,1205,1184,168,171,86,77,104,111,76,68,178,199,152,185,156,191,178,185,149,167,136,152,108,48,22,2438,290
24,Jülicher Str.,7500,7435,65,4194,3306,4879,1775,312,534,189,162,209,247,158,233,1265,1156,702,485,403,405,384,349,267,232,195,190,137,79,53,5287,2213
25,Kalkofen,2625,2610,15,1317,1308,1284,976,154,211,67,92,108,160,102,82,218,219,187,152,176,162,182,160,113,130,106,94,72,34,9,1920,705
31,Kaiserplatz,8182,8114,68,4609,3573,5505,1831,264,582,155,120,159,155,90,221,1600,1532,859,502,387,392,389,345,289,274,204,221,155,78,55,6090,2092
32,Adalbertsteinweg,10014,9942,72,5678,4336,6459,2357,409,789,267,228,270,338,184,255,1712,1492,938,748,514,516,577,469,350,312,236,263,174,97,74,7178,2836
33,Panneschopp,8024,7985,39,4569,3455,4550,2361,400,713,245,206,255,348,199,259,1088,902,598,511,456,499,516,481,354,344,286,247,143,61,26,4796,3228
34,Rothe Erde,2556,2551,5,1375,1181,1231,901,154,270,78,75,88,94,82,64,192,213,173,162,151,194,204,176,148,118,121,101,64,40,18,1818,738
35,Trierer Str.,7733,7705,28,3971,3762,3653,2835,512,733,231,204,289,314,173,186,617,590,552,450,474,513,585,522,493,410,301,338,275,138,78,5775,1958
36,Frankenberg,8149,8074,75,4190,3959,5000,2317,238,594,258,169,174,255,126,171,971,1128,918,640,465,491,581,504,367,260,213,218,136,73,31,6914,1235
37,Forst,13383,13329,54,6536,6847,5604,5903,909,967,419,433,581,726,438,324,835,745,811,816,803,877,1007,932,852,714,585,717,454,225,89,10645,2738
41,Beverau,4287,4216,71,2108,2179,1752,2020,274,241,86,113,214,247,153,130,230,140,140,199,255,346,440,413,260,206,167,232,154,113,49,4023,264
42,Burtsch. Kurgarten,5060,5000,60,2685,2375,3161,1330,211,358,113,68,126,148,115,116,730,776,425,346,212,281,319,253,229,171,151,206,140,88,47,4337,723
43,Burtscheider Abtei,7326,7172,154,3750,3576,4050,2261,447,568,155,116,154,212,148,152,866,852,647,418,337,417,541,456,380,343,297,375,250,145,65,6368,958
46,Steinebrück,7119,7015,104,3358,3761,2805,3231,574,509,159,167,210,334,231,161,407,321,311,329,310,501,594,575,468,422,434,466,342,214,163,6605,514
47,Marschiertor,6817,6756,61,3770,3047,4672,1416,282,447,133,76,95,113,92,220,1304,1384,765,352,264,302,320,345,256,191,152,175,139,88,51,5479,1338
48,Hangeweiher,11648,11527,121,5729,5919,5774,4142,848,884,332,269,362,491,328,286,1096,1017,743,546,534,714,818,744,624,581,530,643,456,299,235,10063,1585
51,Brand,17189,17053,136,8258,8931,6649,8035,1140,1365,478,502,620,816,546,395,907,896,926,914,1003,1283,1538,1370,1155,999,833,981,613,272,142,15727,1462
52,Eilendorf,15712,15625,87,7774,7938,6284,7094,1029,1305,422,393,528,673,437,364,926,1034,978,952,899,1183,1380,1189,1031,927,693,784,541,261,117,13739,1973
53,Haaren,12459,12370,89,6337,6122,5477,5304,759,919,297,322,470,647,415,375,883,874,742,775,725,974,982,895,687,624,497,581,430,191,73,10354,2105
61,Kornelimünster,3385,3343,42,1640,1745,1297,1554,273,261,69,89,138,176,99,56,136,153,173,175,207,271,295,253,230,198,201,221,121,65,59,3112,273
62,Oberforstbach,5065,5028,37,2515,2550,1875,2469,342,379,116,112,136,229,163,142,258,241,242,240,233,389,516,439,355,331,243,330,201,108,41,4690,375
63,Walheim,7075,7015,60,3428,3647,2534,3429,564,548,144,155,258,347,223,143,308,322,322,336,383,520,675,604,523,466,372,463,285,146,80,6587,488
64,Vaalserquartier,9718,9558,160,5141,4577,5384,3442,368,524,211,224,284,372,210,362,1591,1179,637,496,405,458,625,643,564,497,323,298,185,108,46,7490,2228
65,Laurensberg,10391,10260,131,5000,5391,4244,4614,820,713,303,285,352,489,301,218,506,589,677,583,571,761,882,711,621,584,519,536,432,288,183,9336,1055
66,Richterich,8753,8675,78,4316,4437,3471,4118,523,641,217,232,312,386,262,210,448,530,442,460,437,607,750,729,700,545,470,496,309,154,57,7880,873
