Bezirk,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2779,2736,43,1638,1141,2031,514,81,153,45,23,22,26,22,95,710,590,318,149,96,87,101,106,101,64,69,64,59,21,11,2074,705
13,Theater,2742,2714,28,1560,1182,1899,563,107,173,37,23,28,37,23,79,572,566,301,151,102,90,132,104,104,86,89,82,84,27,25,2153,589
14,Lindenplatz,4336,4285,51,2356,1980,3199,743,191,203,61,44,34,47,33,155,1125,919,412,193,103,152,173,154,133,106,93,127,127,86,59,3353,983
15,St. Jakob,6431,6361,70,3578,2853,4732,1224,146,329,110,78,79,115,71,223,1521,1375,695,389,276,233,253,253,230,156,123,105,89,42,15,5199,1232
16,Westpark,8330,8235,95,4572,3758,5571,2092,311,356,198,157,186,197,114,294,1588,1481,875,486,352,344,375,371,331,222,192,211,190,108,58,6732,1598
17,Hanbruch,3629,3605,24,1782,1847,1564,1502,280,283,94,91,146,206,133,83,225,200,194,200,190,253,284,303,238,210,135,164,149,89,42,3119,510
18,Hörn,5641,5555,86,2943,2698,3093,1961,327,260,127,125,182,188,112,247,905,678,350,248,213,250,341,320,266,249,187,234,228,122,69,4632,1009
21,Ponttor,12345,12173,172,7440,4905,9552,2082,293,418,223,133,140,160,105,619,3660,2611,1197,603,361,362,435,338,320,278,253,235,198,75,39,8897,3448
22,Hansemannplatz,5365,5311,54,3112,2253,3619,1225,195,326,88,80,72,103,56,171,1097,962,498,318,227,219,265,237,224,206,145,178,135,51,33,3963,1402
23,Soers,2883,2855,28,1421,1462,1298,1254,162,169,95,103,112,117,74,73,173,226,187,207,174,172,181,190,146,170,137,153,122,49,22,2543,340
24,Jülicher Str.,7585,7533,52,4233,3352,5011,1787,287,500,181,168,196,241,143,271,1324,1170,744,469,355,397,401,351,278,256,185,160,158,77,60,5221,2364
25,Kalkofen,2748,2732,16,1395,1353,1425,968,147,208,85,80,110,178,113,95,224,249,200,183,177,153,184,165,120,120,117,80,69,34,12,1893,855
31,Kaiserplatz,8128,8055,73,4597,3531,5638,1674,253,563,162,113,105,135,79,244,1724,1498,886,532,341,344,366,350,289,259,203,202,170,79,47,6029,2099
32,Adalbertsteinweg,10095,10030,65,5732,4363,6671,2265,390,769,254,220,260,326,180,334,1810,1527,973,659,522,478,559,481,378,288,258,225,193,98,72,7021,3074
33,Panneschopp,8249,8206,43,4758,3491,4888,2284,393,684,218,222,250,333,197,304,1221,944,624,489,485,481,530,493,381,325,270,236,150,66,30,4664,3585
34,Rothe Erde,2613,2609,4,1406,1207,1340,865,153,255,66,87,97,99,76,71,179,234,190,181,156,202,203,167,143,126,104,102,71,39,20,1747,866
35,Trierer Str.,8256,8224,32,4238,4018,4040,2952,506,758,245,231,298,339,185,184,722,717,572,520,496,524,587,538,515,431,325,312,285,156,74,6033,2223
36,Frankenberg,8703,8623,80,4559,4144,5486,2380,238,599,290,182,179,253,148,177,1127,1281,997,650,505,476,574,510,385,280,217,217,151,76,28,7221,1482
